constructorStandingsId,raceId,constructorId,points,position,wins
27197,1010,4,6,5,0
27196,1010,210,8,4,0
27195,1010,6,22,2,0
27194,1010,9,15,3,0
27193,1010,131,44,1,1
27198,1010,51,4,6,0
27199,1010,211,2,7,0
27200,1010,5,1,8,0
27201,1010,1,0,9,0
27202,1010,3,0,10,0
27223,1012,131,130,1,3
27222,1011,3,0,10,0
27220,1011,5,3,8,0
27215,1011,6,48,2,0
27221,1011,1,8,5,0
27218,1011,51,10,4,0
27214,1011,9,31,3,0
27219,1011,211,3,9,0
27217,1011,4,6,7,0
27216,1011,210,8,6,0
27213,1011,131,87,1,2
27224,1012,9,52,3,0
27225,1012,6,73,2,0
27226,1012,210,8,6,0
27227,1012,4,12,4,0
27228,1012,51,12,5,0
27229,1012,211,7,8,0
27230,1012,5,4,9,0
27231,1012,1,8,7,0
27232,1012,3,0,10,0
27233,1013,131,173,1,4
27234,1013,9,64,3,0
27235,1013,6,99,2,0
27236,1013,210,8,8,0
27237,1013,4,12,7,0
27238,1013,51,13,6,0
27239,1013,211,17,5,0
27240,1013,5,4,9,0
27241,1013,1,18,4,0
27242,1013,3,0,10,0
27243,1014,131,217,1,5
27244,1014,9,87,3,0
27245,1014,6,121,2,0
27246,1014,210,15,6,0
27247,1014,4,12,8,0
27248,1014,51,13,7,0
27249,1014,211,17,5,0
27250,1014,5,6,9,0
27251,1014,1,22,4,0
27252,1014,3,0,10,0
27253,1015,131,257,1,6
27254,1015,9,110,3,0
27255,1015,6,139,2,0
27256,1015,210,16,6,0
27257,1015,4,14,8,0
27258,1015,51,13,9,0
27259,1015,211,17,5,0
27260,1015,5,16,7,0
27261,1015,1,30,4,0
27262,1015,3,0,10,0
27263,1016,131,295,1,7
27264,1016,9,124,3,0
27265,1016,6,172,2,0
27266,1016,210,16,8,0
27267,1016,4,28,5,0
27268,1016,51,13,9,0
27269,1016,211,19,6,0
27270,1016,5,17,7,0
27271,1016,1,30,4,0
27272,1016,3,0,10,0
27302,1017,3,0,10,0
27300,1017,5,17,8,0
27304,1018,9,169,3,1
27303,1018,131,363,1,8
27301,1017,1,40,4,0
27299,1017,211,19,6,0
27297,1017,4,32,5,0
27298,1017,51,19,7,0
27296,1017,210,16,9,0
27295,1017,6,198,2,0
27294,1017,9,137,3,0
27293,1017,131,338,1,8
27305,1018,6,228,2,0
27306,1018,210,16,9,0
27307,1018,4,32,5,0
27308,1018,51,22,6,0
27309,1018,211,19,7,0
27310,1018,5,17,8,0
27311,1018,1,52,4,0
27312,1018,3,0,10,0
