driverStandingsId,raceId,driverId,points,position,wins
69768,1010,832,0,20,0
69767,1010,817,0,19,0
69766,1010,154,0,18,0
69765,1010,9,0,17,0
69764,1010,847,0,16,0
69763,1010,841,0,15,0
69762,1010,848,0,14,0
69761,1010,815,0,13,0
69760,1010,846,0,12,0
69750,1010,1,18,2,0
69230,1012,1,68,1,2
69759,1010,842,0,11,0
69758,1010,826,1,10,0
69757,1010,840,2,9,0
69756,1010,8,4,8,0
69755,1010,807,6,7,0
69754,1010,825,8,6,0
69753,1010,844,10,5,0
69752,1010,20,12,4,0
69751,1010,830,15,3,0
69749,1010,822,26,1,1
69229,1012,822,62,2,1
69227,1011,817,0,18,0
69226,1011,154,0,19,0
69224,1011,847,0,16,0
69222,1011,848,2,11,0
69219,1011,842,4,10,0
69216,1011,8,10,6,0
69211,1011,830,27,3,0
69228,1011,832,0,20,0
69223,1011,841,0,15,0
69218,1011,826,1,13,0
69225,1011,9,0,17,0
69220,1011,846,8,7,0
69215,1011,807,6,9,0
69221,1011,815,1,14,0
69217,1011,840,2,12,0
69214,1011,825,8,8,0
69213,1011,844,26,4,0
69212,1011,20,22,5,0
69210,1011,1,43,2,1
69209,1011,822,44,1,1
69231,1012,830,39,3,0
69232,1012,20,37,4,0
69233,1012,844,36,5,0
69234,1012,825,8,9,0
69235,1012,807,6,10,0
69236,1012,8,12,7,0
69237,1012,840,2,14,0
69238,1012,826,1,15,0
69239,1012,842,13,6,0
69240,1012,846,8,8,0
69241,1012,815,5,12,0
69242,1012,848,3,13,0
69243,1012,841,0,16,0
69244,1012,847,0,19,0
69245,1012,9,0,20,0
69246,1012,154,0,17,0
69247,1012,817,6,11,0
69248,1012,832,0,18,0
69249,1013,822,87,1,2
69250,1013,1,86,2,2
69251,1013,830,51,4,0
69252,1013,20,52,3,0
69253,1013,844,47,5,0
69254,1013,825,8,10,0
69255,1013,807,6,11,0
69256,1013,8,13,8,0
69257,1013,840,4,14,0
69258,1013,826,1,16,0
69259,1013,842,13,7,0
69260,1013,846,12,9,0
69261,1013,815,13,6,0
69262,1013,848,3,15,0
69263,1013,841,0,17,0
69264,1013,847,0,19,0
69265,1013,9,0,20,0
69266,1013,154,0,18,0
69267,1013,817,6,13,0
69268,1013,832,6,12,0
69308,1014,832,10,11,0
69307,1014,817,6,12,0
69306,1014,154,1,17,0
69305,1014,9,0,20,0
69303,1014,841,0,18,0
69302,1014,848,3,15,0
69299,1014,842,21,6,0
69297,1014,840,4,14,0
69296,1014,8,13,9,0
69293,1014,844,57,5,0
69291,1014,830,66,3,0
69290,1014,1,112,1,3
69301,1014,815,13,8,0
69298,1014,826,3,16,0
69300,1014,846,12,10,0
69289,1014,822,105,2,2
69304,1014,847,0,19,0
69292,1014,20,64,4,0
69295,1014,807,6,13,0
69294,1014,825,14,7,0
69309,1015,822,120,2,2
69310,1015,1,137,1,4
69311,1015,830,78,4,0
69312,1015,20,82,3,0
69313,1015,844,57,5,0
69314,1015,825,14,8,0
69315,1015,807,6,15,0
69316,1015,8,13,10,0
69317,1015,840,4,16,0
69318,1015,826,9,12,0
69319,1015,842,32,6,0
69320,1015,846,12,11,0
69321,1015,815,13,9,0
69322,1015,848,7,14,0
69323,1015,841,0,18,0
69324,1015,847,0,19,0
69325,1015,9,0,20,0
69326,1015,154,2,17,0
69327,1015,817,8,13,0
69328,1015,832,18,7,0
69329,1016,822,133,2,2
69330,1016,1,162,1,5
69331,1016,830,88,4,0
69332,1016,20,100,3,0
69333,1016,844,72,5,0
69334,1016,825,14,9,0
69335,1016,807,12,13,0
69336,1016,8,13,11,0
69337,1016,840,6,16,0
69338,1016,826,10,14,0
69339,1016,842,36,6,0
69340,1016,846,12,12,0
69341,1016,815,13,10,0
69342,1016,848,7,15,0
69343,1016,841,0,18,0
69344,1016,847,0,19,0
69345,1016,9,0,20,0
69346,1016,154,2,17,0
69347,1016,817,16,8,0
69348,1016,832,18,7,0
69424,1017,847,0,19,0
69428,1017,832,26,7,0
69416,1017,8,19,8,0
69417,1017,840,6,16,0
69409,1017,822,151,2,2
69427,1017,817,16,9,0
