raceId,driverId,lap,position,time,milliseconds
1010,822,1,1,1:33.813,93813
1010,822,2,1,1:29.662,89662
1010,822,3,1,1:29.246,89246
1010,822,4,1,1:28.641,88641
1010,822,5,1,1:28.759,88759
1010,822,6,1,1:29.034,89034
1010,822,7,1,1:28.783,88783
1010,822,8,1,1:28.651,88651
1010,822,9,1,1:28.664,88664
1010,822,10,1,1:29.028,89028
1010,822,11,1,1:28.985,88985
1010,822,12,1,1:28.633,88633
1010,822,13,1,1:28.626,88626
1010,822,14,1,1:28.300,88300
1010,822,15,1,1:28.217,88217
1010,822,16,1,1:28.238,88238
1010,822,17,1,1:28.377,88377
1010,822,18,1,1:28.203,88203
1010,822,19,1,1:27.836,87836
1010,822,20,1,1:27.832,87832
1010,822,21,1,1:27.815,87815
1010,822,22,1,1:28.531,88531
1010,822,23,2,1:46.050,106050
1010,822,24,2,1:33.805,93805
1010,822,25,1,1:27.338,87338
1010,822,26,1,1:27.450,87450
1010,822,27,1,1:27.757,87757
1010,822,28,1,1:27.511,87511
1010,822,29,1,1:27.659,87659
1010,822,30,1,1:27.537,87537
1010,822,31,1,1:27.235,87235
1010,822,32,1,1:27.266,87266
1010,822,33,1,1:27.362,87362
1010,822,34,1,1:27.927,87927
1010,822,35,1,1:27.610,87610
1010,822,36,1,1:27.465,87465
1010,822,37,1,1:27.108,87108
1010,822,38,1,1:27.358,87358
1010,822,39,1,1:27.735,87735
1010,822,40,1,1:27.273,87273
1010,822,41,1,1:27.043,87043
1010,822,42,1,1:26.739,86739
1010,822,43,1,1:27.397,87397
1010,822,44,1,1:27.540,87540
1010,822,45,1,1:27.580,87580
1010,822,46,1,1:27.491,87491
1010,822,47,1,1:27.323,87323
1010,822,48,1,1:27.184,87184
1010,822,49,1,1:27.071,87071
1010,822,50,1,1:27.238,87238
1010,822,51,1,1:28.090,88090
1010,822,52,1,1:29.226,89226
1010,822,53,1,1:27.172,87172
1010,822,54,1,1:27.608,87608
1010,822,55,1,1:26.830,86830
1010,822,56,1,1:28.732,88732
1010,822,57,1,1:25.580,85580
1010,822,58,1,1:28.161,88161
1010,1,1,2,1:34.887,94887
1010,1,2,2,1:29.759,89759
1010,1,3,2,1:29.332,89332
1010,1,4,2,1:28.804,88804
1010,1,5,2,1:28.914,88914
1010,1,6,2,1:29.475,89475
1010,1,7,2,1:29.150,89150
1010,1,8,2,1:29.208,89208
1010,1,9,2,1:29.170,89170
1010,1,10,2,1:29.341,89341
1010,1,11,2,1:28.784,88784
1010,1,12,2,1:28.733,88733
1010,1,13,2,1:28.616,88616
1010,1,14,2,1:28.495,88495
1010,1,15,4,1:46.079,106079
1010,1,16,4,1:35.642,95642
1010,1,17,4,1:28.801,88801
1010,1,18,4,1:28.667,88667
1010,1,19,4,1:29.367,89367
1010,1,20,4,1:29.334,89334
1010,1,21,4,1:28.191,88191
1010,1,22,4,1:28.666,88666
1010,1,23,4,1:28.754,88754
1010,1,24,4,1:28.496,88496
1010,1,25,3,1:28.634,88634
1010,1,26,3,1:27.982,87982
1010,1,27,3,1:28.674,88674
1010,1,28,2,1:28.913,88913
1010,1,29,2,1:28.681,88681
1010,1,30,2,1:28.507,88507
1010,1,31,2,1:28.320,88320
1010,1,32,2,1:27.954,87954
1010,1,33,2,1:27.771,87771
1010,1,34,2,1:27.538,87538
1010,1,35,2,1:27.376,87376
1010,1,36,2,1:27.553,87553
1010,1,37,2,1:28.356,88356
1010,1,38,2,1:28.149,88149
1010,1,39,2,1:28.043,88043
1010,1,40,2,1:28.196,88196
1010,1,41,2,1:28.282,88282
1010,1,42,2,1:27.576,87576
1010,1,43,2,1:27.927,87927
1010,1,44,2,1:27.760,87760
1010,1,45,2,1:27.610,87610
1010,1,46,2,1:27.567,87567
1010,1,47,2,1:27.098,87098
1010,1,48,2,1:27.224,87224
1010,1,49,2,1:27.728,87728
1010,1,50,2,1:27.567,87567
1010,1,51,2,1:27.653,87653
1010,1,52,2,1:27.933,87933
1010,1,53,2,1:27.134,87134
1010,1,54,2,1:27.190,87190
1010,1,55,2,1:27.042,87042
1010,1,56,2,1:26.924,86924
1010,1,57,2,1:26.057,86057
1010,1,58,2,1:26.627,86627
1010,20,1,3,1:35.626,95626
1010,20,2,3,1:30.095,90095
1010,20,3,3,1:29.371,89371
1010,20,4,3,1:29.124,89124
1010,20,5,3,1:29.310,89310
1010,20,6,3,1:29.666,89666
1010,20,7,3,1:29.418,89418
1010,20,8,3,1:29.557,89557
1010,20,9,3,1:29.282,89282
1010,20,10,3,1:29.394,89394
1010,20,11,3,1:29.246,89246
1010,20,12,3,1:29.102,89102
1010,20,13,3,1:28.789,88789
1010,20,14,5,1:46.627,106627
1010,20,15,5,1:33.692,93692
1010,20,16,5,1:27.954,87954
1010,20,17,5,1:28.561,88561
1010,20,18,5,1:28.657,88657
1010,20,19,5,1:29.248,89248
1010,20,20,5,1:29.227,89227
1010,20,21,5,1:28.701,88701
1010,20,22,5,1:28.514,88514
1010,20,23,5,1:28.637,88637
1010,20,24,5,1:28.702,88702
1010,20,25,5,1:28.899,88899
1010,20,26,4,1:28.710,88710
1010,20,27,4,1:28.705,88705
1010,20,28,3,1:28.759,88759
1010,20,29,3,1:28.207,88207
1010,20,30,3,1:28.343,88343
1010,20,31,4,1:30.051,90051
1010,20,32,4,1:28.489,88489
1010,20,33,4,1:28.658,88658
1010,20,34,4,1:28.736,88736
1010,20,35,4,1:28.494,88494
1010,20,36,4,1:28.557,88557
1010,20,37,4,1:28.607,88607
1010,20,38,4,1:28.561,88561
1010,20,39,4,1:28.555,88555
1010,20,40,4,1:28.203,88203
1010,20,41,4,1:28.215,88215
1010,20,42,4,1:28.389,88389
1010,20,43,4,1:28.585,88585
1010,20,44,4,1:28.275,88275
1010,20,45,4,1:28.249,88249
1010,20,46,4,1:28.214,88214
1010,20,47,4,1:28.400,88400
1010,20,48,4,1:28.380,88380
1010,20,49,4,1:28.432,88432
1010,20,50,4,1:28.746,88746
1010,20,51,4,1:28.706,88706
1010,20,52,4,1:28.644,88644
1010,20,53,4,1:29.006,89006
1010,20,54,4,1:29.438,89438
1010,20,55,4,1:29.159,89159
1010,20,56,4,1:29.683,89683
1010,20,57,4,1:30.057,90057
1010,20,58,4,1:30.822,90822
1010,830,1,4,1:36.291,96291
1010,830,2,4,1:30.053,90053
1010,830,3,4,1:29.370,89370
1010,830,4,4,1:29.301,89301
1010,830,5,4,1:29.723,89723
1010,830,6,4,1:29.744,89744
1010,830,7,4,1:29.516,89516
1010,830,8,4,1:29.453,89453
1010,830,9,4,1:29.363,89363
1010,830,10,4,1:29.452,89452
1010,830,11,4,1:29.440,89440
1010,830,12,4,1:29.104,89104
1010,830,13,4,1:28.940,88940
1010,830,14,3,1:29.058,89058
1010,830,15,2,1:28.948,88948
1010,830,16,2,1:28.757,88757
1010,830,17,2,1:28.958,88958
1010,830,18,2,1:28.865,88865
1010,830,19,2,1:28.585,88585
1010,830,20,2,1:28.757,88757
1010,830,21,2,1:28.550,88550
1010,830,22,2,1:28.598,88598
1010,830,23,1,1:29.025,89025
1010,830,24,1,1:29.751,89751
1010,830,25,4,1:45.970,105970
1010,830,26,5,1:33.652,93652
1010,830,27,5,1:27.638,87638
1010,830,28,4,1:27.959,87959
1010,830,29,4,1:27.547,87547
1010,830,30,4,1:28.060,88060
1010,830,31,3,1:27.915,87915
1010,830,32,3,1:27.545,87545
1010,830,33,3,1:27.516,87516
1010,830,34,3,1:27.457,87457
1010,830,35,3,1:27.631,87631
1010,830,36,3,1:27.890,87890
1010,830,37,3,1:28.091,88091
1010,830,38,3,1:28.040,88040
1010,830,39,3,1:28.098,88098
1010,830,40,3,1:28.323,88323
1010,830,41,3,1:28.282,88282
1010,830,42,3,1:27.738,87738
