resultId,raceId,driverId,constructorId,grid,positionOrder,points,statusId
24203,1010,822,131,2,1,26,1
24204,1010,1,131,1,2,18,1
24205,1010,830,9,4,3,15,1
24206,1010,20,6,3,4,12,1
24207,1010,844,6,5,5,10,1
24208,1010,825,210,7,6,8,1
24209,1010,807,4,11,7,6,11
24210,1010,8,51,9,8,4,11
24211,1010,840,211,16,9,2,11
24212,1010,826,5,15,10,1,11
24213,1010,842,9,17,11,0,11
24214,1010,846,1,8,12,0,11
24215,1010,815,211,10,13,0,11
24216,1010,848,5,13,14,0,11
24217,1010,841,51,14,15,0,11
24218,1010,847,3,19,16,0,12
24219,1010,9,3,20,17,0,13
24220,1010,154,210,6,18,0,36
24221,1010,817,4,12,19,0,137
24222,1010,832,1,18,20,0,5
24223,1011,1,131,3,1,25,1
24224,1011,822,131,4,2,18,1
24225,1011,844,6,1,3,16,1
24226,1011,830,9,5,4,12,1
24227,1011,20,6,2,5,10,1
24228,1011,846,1,9,6,8,1
24229,1011,8,51,8,7,6,1
24230,1011,842,9,13,8,4,1
24231,1011,848,5,12,9,2,1
24232,1011,815,211,14,10,1,1
24233,1011,841,51,16,11,0,1
24234,1011,826,5,15,12,0,11
24235,1011,825,210,6,13,0,11
24236,1011,840,211,18,14,0,11
24237,1011,847,3,19,15,0,11
24238,1011,9,3,20,16,0,12
24239,1011,807,4,17,17,0,5
24240,1011,817,4,10,18,0,60
24241,1011,832,1,7,19,0,130
24242,1011,154,210,11,20,0,31
24243,1012,1,131,2,1,25,1
24244,1012,822,131,1,2,18,1
24245,1012,20,6,3,3,15,1
24246,1012,830,9,5,4,12,1
24247,1012,844,6,4,5,10,1
24248,1012,842,9,6,6,9,1
24249,1012,817,4,7,7,6,11
24250,1012,815,211,12,8,4,11
24251,1012,8,51,13,9,2,11
24252,1012,848,5,0,10,1,11
24253,1012,154,210,10,11,0,11
24254,1012,840,211,16,12,0,11
24255,1012,825,210,9,13,0,11
24256,1012,832,1,14,14,0,11
24257,1012,841,51,19,15,0,11
24258,1012,847,3,17,16,0,12
24259,1012,9,3,18,17,0,12
24260,1012,846,1,15,18,0,4
24261,1012,826,5,11,19,0,4
24262,1012,807,4,8,20,0,131
24263,1013,822,131,1,1,25,1
24264,1013,1,131,2,2,18,1
24265,1013,20,6,3,3,15,1
24266,1013,830,9,4,4,12,1
24267,1013,844,6,8,5,11,1
24268,1013,815,211,5,6,8,1
24269,1013,832,1,9,7,6,1
24270,1013,846,1,7,8,4,1
24271,1013,840,211,13,9,2,1
24272,1013,8,51,0,10,1,11
24273,1013,848,5,11,11,0,11
24274,1013,841,51,17,12,0,11
24275,1013,825,210,12,13,0,11
24276,1013,807,4,15,14,0,11
24277,1013,847,3,16,15,0,12
24278,1013,9,3,0,16,0,12
24279,1013,842,9,0,17,0,7
24280,1013,154,210,14,18,0,23
24281,1013,826,5,6,19,0,4
24282,1013,817,4,10,20,0,4
24283,1014,1,131,2,1,26,1
24284,1014,822,131,1,2,18,1
24285,1014,830,9,4,3,15,1
24286,1014,20,6,3,4,12,1
24287,1014,844,6,5,5,10,1
24288,1014,842,9,6,6,8,1
24289,1014,825,210,8,7,6,1
24290,1014,832,1,12,8,4,1
24291,1014,826,5,9,9,2,1
24292,1014,154,210,7,10,1,1
24293,1014,848,5,11,11,0,1
24294,1014,817,4,13,12,0,1
24295,1014,807,4,0,13,0,1
24296,1014,8,51,14,14,0,1
24297,1014,815,211,15,15,0,1
24298,1014,841,51,18,16,0,1
24299,1014,847,3,19,17,0,11
24300,1014,9,3,17,18,0,11
24301,1014,840,211,16,19,0,4
24302,1014,846,1,10,20,0,4
