constructorStandingsId,raceId,constructorId,points,position
27453,1030,131,739,1
27454,1030,9,417,3
27455,1030,6,504,2
27456,1030,210,28,9
27457,1030,4,91,5
27458,1030,51,57,8
27459,1030,211,73,7
27460,1030,5,85,6
27461,1030,1,145,4
27462,1030,3,1,10
27653,1047,131,573,1
27654,1047,6,131,6
27655,1047,1,202,3
27656,1047,211,195,4
27657,1047,213,107,7
27658,1047,4,181,5
27659,1047,51,8,8
27660,1047,3,0,10
27661,1047,9,319,2
27662,1047,210,3,9
27923,1073,131,613.5,1
27924,1073,9,585.5,2
27925,1073,1,275,4
27926,1073,6,323.5,3
27927,1073,213,142,6
27928,1073,117,77,7
27929,1073,51,13,9
27930,1073,214,155,5
27931,1073,3,23,8
27932,1073,210,0,10
28393,1096,6,554,2
28394,1096,131,515,3
28395,1096,210,37,8
28396,1096,51,55,6
28397,1096,214,173,4
28398,1096,213,35,9
28399,1096,117,55,7
28400,1096,3,8,10
28401,1096,1,159,5
28402,1096,9,759,1
